geoid,pop_density,paved_density,tract_type
1001020100,3,3,3) OUTER RING
1001020200,5,5,3) OUTER RING
1001020300,5,4,3) OUTER RING
1001020400,5,4,3) OUTER RING
1001020500,6,6,2) INNER RING
1001020600,4,4,3) OUTER RING
1001020700,3,3,3) OUTER RING
1001020801,2,2,4) RURAL
1001020802,2,2,4) RURAL
1001020900,2,1,4) RURAL
1001021000,1,1,4) RURAL
1001021100,1,1,4) RURAL
1003010100,1,1,4) RURAL
1003010200,1,1,4) RURAL
1003010300,2,1,4) RURAL
1003010400,1,1,4) RURAL
1003010500,4,4,3) OUTER RING
1003010600,3,3,3) OUTER RING
1003010701,3,2,3) OUTER RING
1003010703,3,3,3) OUTER RING
1003010704,5,4,3) OUTER RING
1003010705,5,4,3) OUTER RING
1003010800,4,4,3) OUTER RING
1003010903,3,2,3) OUTER RING
1003010904,2,1,4) RURAL
1003010905,3,3,3) OUTER RING
1003010906,3,2,3) OUTER RING
1003011000,2,2,4) RURAL
1003011101,4,3,3) OUTER RING
1003011102,3,2,3) OUTER RING
1003011201,4,4,3) OUTER RING
1003011202,4,4,3) OUTER RING
1003011300,3,2,3) OUTER RING
1003011401,2,2,4) RURAL
1003011403,3,3,3) OUTER RING
1003011405,4,5,3) OUTER RING
1003011406,3,4,3) OUTER RING
1003011407,3,4,3) OUTER RING
1003011408,2,4,3) OUTER RING
1003011501,3,3,3) OUTER RING
1003011502,4,4,3) OUTER RING
1003011601,2,2,4) RURAL
1003011602,2,2,4) RURAL
1005950100,1,1,4) RURAL
1005950200,1,1,4) RURAL
1005950300,1,1,4) RURAL
1005950400,1,1,4) RURAL
1005950500,1,1,4) RURAL
1005950600,2,1,4) RURAL
1005950700,1,1,4) RURAL
1005950800,3,3,3) OUTER RING
1005950900,4,4,3) OUTER RING
1007010001,1,1,4) RURAL
1007010002,2,2,4) RURAL
1007010003,1,1,4) RURAL
1007010004,1,1,4) RURAL
1009050101,2,2,4) RURAL
1009050102,2,2,4) RURAL
1009050200,2,2,4) RURAL
1009050300,2,2,4) RURAL
1009050400,2,2,4) RURAL
1009050500,2,2,4) RURAL
1009050601,2,2,4) RURAL
1009050602,2,2,4) RURAL
1009050700,2,2,4) RURAL
1011952100,1,1,4) RURAL
1011952200,1,1,4) RURAL
